topic,claim,label,url,date_generated,Reviewed
Alaska Air,"Alaska Airlines has announced that it will launch new nonstop flights between Seattle and London Heathrow Airport on May 21, 2026.",TRUE,"https://www.cbsnews.com/news/joseph-emerson-alaska-airlines-pilot-flight-deck-audio-police-video/, https://nypost.com/2025/12/09/us-news/wild-new-cockpit-audio-reveals-moment-alaska-airlines-pilot-tried-to-crash-plane-mid-flight-just-tried-to-shut-our-engines-off/, https://www.cnn.com/2025/12/08/us/video/alaska-airlines-off-duty-pilot-tried-shut-off-engines",20251210,claim_only
United Airlines,Delta Air Lines CEO Ed Bastian has publicly stated that United Airlines is trying to copy Delta's premium offerings strategy.,TRUE,"https://thepointsguy.com/news/united-airlines-premier-status-pluspoints-changes/, https://www.cnbc.com/2025/12/08/united-airlines-mileage-plus-frequent-flyer-changes.html, https://www.bizjournals.com/sanfrancisco/news/2025/12/08/united-airlines-pluspoints-upgrades-mileageplus.html",20251210,claim_only
United Airlines,United Airlines has announced that it will increase the Premier elite status qualification requirements for the MileagePlus program in 2026.,FALSE,"https://thepointsguy.com/news/united-airlines-premier-status-pluspoints-changes/, https://www.cnbc.com/2025/12/08/united-airlines-mileage-plus-frequent-flyer-changes.html, https://www.bizjournals.com/sanfrancisco/news/2025/12/08/united-airlines-pluspoints-upgrades-mileageplus.html",20251210,claim_only
Ulta Beauty,Oppenheimer analyst Rupesh Parikh raised his price target for Ulta Beauty (ULTA) from $615 to $675 while maintaining an 'Outperform' rating.,TRUE,"https://finance.yahoo.com/news/earnings-guidance-inflows-send-ulta-112615295.html, https://www.oregonlive.com/retail/2025/12/another-top-beauty-retailer-is-raising-prices-amid-tariffs.html, https://www.happi.com/breaking-news/cayla-grey-expands-into-ulta/",20251210,claim_only
Ulta Beauty,"Cayla Gray's launch on Ulta.com is part of Ulta Beauty's long-established, open-to-all third-party marketplace that is not curated or invite-only.",FALSE,"https://finance.yahoo.com/news/earnings-guidance-inflows-send-ulta-112615295.html, https://www.oregonlive.com/retail/2025/12/another-top-beauty-retailer-is-raising-prices-amid-tariffs.html, https://www.happi.com/breaking-news/cayla-grey-expands-into-ulta/",20251210,claim_only
Southwest Airlines,"The U.S. Department of Transportation credited Southwest Airlines $11 million toward its record $140 million penalty for the airline's 2022 holiday operational meltdown, in recognition of the carrier's $112.4 million investment in its Network Operations Control and resulting improvements in on-time performance and completion factor.",TRUE,"https://www.cnbc.com/2025/12/10/southwest-airlines-airport-lounges-ceo-bob-jordan.html, https://www.kxan.com/news/local/austin/austin-airport/as-southwest-considers-expansion-city-of-austin-looks-to-draw-airline-with-incentives/, https://www.cbsnews.com/news/southwest-airlines-2022-winter-storm-cancellations-fine-waved/",20251210,claim_only
Southwest Airlines,"Southwest Airlines is still required to pay the full $35 million cash portion of its $140 million civil penalty to the U.S. Treasury, with no part of that amount waived or credited by the Department of Transportation.",FALSE,"https://www.cnbc.com/2025/12/10/southwest-airlines-airport-lounges-ceo-bob-jordan.html, https://www.kxan.com/news/local/austin/austin-airport/as-southwest-considers-expansion-city-of-austin-looks-to-draw-airline-with-incentives/, https://www.cbsnews.com/news/southwest-airlines-2022-winter-storm-cancellations-fine-waved/",20251210,claim_only
U.S. Bancorp,U.S. Bancorp has maintained dividend payments for 55 consecutive years.,TRUE,"https://www.investing.com/news/company-news/us-bancorp-stock-hits-52week-high-at-5225-usd-93CH-4401331, https://www.stocktitan.net/news/USB/u-s-bank-decreases-prime-lending-rate-to-6-75-yyb31m40ruv4.html, https://finance.yahoo.com/news/u-bank-split-card-launch-211132023.html",20251210,claim_only
U.S. Bancorp,U.S. Bancorp has not paid any dividends to shareholders in 2025.,FALSE,"https://www.investing.com/news/company-news/us-bancorp-stock-hits-52week-high-at-5225-usd-93CH-4401331, https://www.stocktitan.net/news/USB/u-s-bank-decreases-prime-lending-rate-to-6-75-yyb31m40ruv4.html, https://finance.yahoo.com/news/u-bank-split-card-launch-211132023.html",20251210,claim_only
Owens & Minor,"Platinum Equity entered into a definitive agreement to acquire the Products & Healthcare Services segment of Owens & Minor, with Owens & Minor retaining a 5% equity stake in that business.",TRUE,"https://www.hmenews.com/article/owens-minor-names-bernocchi-evp-coo, https://www.medtechdive.com/news/owens-minor-375m-deal-sale-investment-firm/802304/, https://www.massdevice.com/owens-minor-names-new-coo-chro-departs/",20251210,claim_only
