claim,ground_truth,factchecker_prediction,baseline_prediction
SOS requires immediate assistance,true,SUPPORTED,SUPPORTED
The Victoria Falls is the largest waterfall in the world,false,CONTAINS_UNSUPPORTED_CLAIMS,NOT_ENOUGH_INFO
Russia is the largest producer of diamonds in the world,true,SUPPORTED,SUPPORTED
Norway has oil reserves in Europe,true,SUPPORTED,SUPPORTED
The New Populism advocated for the use of silver as currency,true,CONTAINS_UNSUPPORTED_CLAIMS,SUPPORTED
The United States has a higher level of income inequality than Australia,true,SUPPORTED,SUPPORTED
Ireland has an obesity rate of 26.9%,false,CONTAINS_UNSUPPORTED_CLAIMS,NOT_ENOUGH_INFO
Sacramento has been the capital since 1854,true,CONTAINS_UNSUPPORTED_CLAIMS,SUPPORTED
Argentina made it to the semi-finals in 2014,true,SUPPORTED,SUPPORTED
Tokyo has a population of over 37 million people,true,CONTAINS_UNSUPPORTED_CLAIMS,NOT_ENOUGH_INFO
Robert Koch discovered the bacterium in 1882,true,CONTAINS_UNSUPPORTED_CLAIMS,NOT_ENOUGH_INFO
Cowcatchers were designed to clear debris from the tracks,true,SUPPORTED,SUPPORTED
Canada is a producer of diamonds,true,SUPPORTED,SUPPORTED
"The largest oil reserves in Europe are found in non-EU countries such as Russia, Norway, and the United Kingdom",true,CONTAINS_UNSUPPORTED_CLAIMS,SUPPORTED
OECD provided the statistics,true,CONTAINS_UNSUPPORTED_CLAIMS,NOT_ENOUGH_INFO
"The most valuable NFT ever sold is a digital artwork called ""Everydays: The First 5000 Days""",false,CONTAINS_REFUTED_CLAIMS,REFUTED
Jupiter is mostly made up of gas,true,SUPPORTED,SUPPORTED
Xian Xinghai composed Tsinghua Alma Mater,false,CONTAINS_REFUTED_CLAIMS,NOT_ENOUGH_INFO
Cowcatchers were designed to prevent derailments caused by collisions with animals or fallen branches,true,CONTAINS_UNSUPPORTED_CLAIMS,SUPPORTED
Methuselah is a Great Basin bristlecone pine tree,true,SUPPORTED,SUPPORTED
"The Nile River is approximately 6,650 kilometers long",true,SUPPORTED,SUPPORTED
The New Populism emerged in the late 19th century in the United States,true,CONTAINS_UNSUPPORTED_CLAIMS,REFUTED
Jupiter has a density of 1.33 grams per cubic centimeter,true,SUPPORTED,SUPPORTED
The highest mountain in the solar system is Olympus Mons,true,CONTAINS_UNSUPPORTED_CLAIMS,SUPPORTED
Helsinki is located at a latitude of 60.1699° N,true,SUPPORTED,SUPPORTED
Approximately 82% of the population in Mexico identifies as Catholic,false,CONTAINS_REFUTED_CLAIMS,SUPPORTED
Siddhartha Gautama is also known as the Buddha,true,SUPPORTED,SUPPORTED
"Paige Pierce won the world championship in 2011, 2w013, 2015, 2017, and 2019",true,SUPPORTED,SUPPORTED
Veins are a dark shade of red or purple,true,CONTAINS_REFUTED_CLAIMS,REFUTED
Some Western media outlets and defense analysts use the name 'Felon' to refer to Su-57,true,SUPPORTED,SUPPORTED
